"","LONGITUDE","LATITUDE","value_mean","country"
"1",-73.0361323009,-36.923329603,11.5285014337365,"CL"
"2",-70.9530647374,-33.6737520714,40.4074781476661,"CL"
"3",-70.594788,-33.591390623,37.9742225183213,"CL"
"4",-70.6662041019,-33.5470996456,45.0398651655973,"CL"
"5",-70.588123962,-33.5166303623,42.2375305291726,"CL"
"6",-70.660797,-33.464142,46.4364677092037,"CL"
"7",-70.7501712331,-33.4378113791,41.5040665117985,"CL"
"8",-70.7321478687,-33.4330896101,39.2436672722553,"CL"
"9",-70.651162,-33.422301,53.9688648933369,"CL"
"10",-70.5233267841,-33.3767735203,39.3373303447209,"CL"
"11",-46.66346553,-23.61632008,73.6626086956522,"BR"
"12",-46.75829437,-23.60932386,39.5597235932873,"BR"
"13",-46.6606875,-23.59184199,33.7461579226285,"BR"
"14",-46.73741428,-23.56634178,42.0354691075515,"BR"
"15",-46.70201651,-23.56145989,49.148024750119,"BR"
"16",-46.67270477,-23.55354256,52.2174796747967,"BR"
"17",-46.62767559,-23.54484566,50.4965612104539,"BR"
"18",-46.83577973,-23.53139503,41.3152559553979,"BR"
"19",-46.79207766,-23.52672142,59.0646950092421,"BR"
"20",-46.74332004,-23.51870583,71.0039177277179,"BR"
"21",-46.76609776,-23.4562689,24.8890489913545,"BR"
"22",-46.5185334,-23.45553426,31.3767195767196,"BR"
"23",-45.57580502,-23.03235096,18.7182182182182,"BR"
"24",-47.64965269,-22.70122234,19.1198375084631,"BR"
"25",-49.39827779,-20.78468928,27.0814010853478,"BR"
"26",77.60921944,12.91281111,19.5082318241404,"IN"
"27",77.69727222,12.93890556,24.8896788039203,"IN"
"28",77.5706972222,12.9773472,57.8177642637513,"IN"
"29",77.5458305556,12.9916694,26.1955849961837,"IN"
"30",80.23744722,12.99251389,17.0762842186148,"IN"
"31",80.19151667,12.99711389,14.9694392343269,"IN"
"32",77.51321111,13.0339,29.8799840510366,"IN"
"33",100.918499224,13.1192341773,24.4547928199972,"TH"
"34",80.26285,13.164544,23.7601412031782,"IN"
"35",100.984540926,13.3606265766,25.8335812066931,"TH"
"36",100.78940318,13.5676965313,22.0603034979426,"TH"
"37",100.531839647,13.6521569257,26.1194844517186,"TH"
"38",100.54340633,13.6640261945,30.3317096626476,"TH"
"39",100.605741181,13.6661161213,30.3195334251194,"TH"
"40",100.505812039,13.6684606831,58.0666385264782,"TH"
"41",100.547345294,13.7080410216,53.8764059731724,"TH"
"42",100.486604393,13.7275593453,41.0698530421651,"TH"
"43",100.536494165,13.7298301332,49.1488519398264,"TH"
"44",100.486018378,13.7328780868,37.293328581611,"TH"
"45",100.614562,13.76963,28.4589602000423,"TH"
"46",100.537798,13.780444,32.4574281586136,"TH"
"47",100.636548,13.78152,36.0707250755295,"TH"
"48",100.596077559,13.7926350092,44.2303904316749,"TH"
"49",100.568535496,14.3493666838,25.4994900532364,"TH"
"50",72.865513,19.041847,20.0256699728105,"IN"
"51",-99.01,19.2464,36.3425394163037,"MX"
"52",-98.9028,19.4604,29.9877921444259,"MX"
"53",-99.2435,19.4824,47.0827461447222,"MX"
